shock_id,shock_name,affected_node_id,affected_node_name,affected_node_type,affected_entity_type,affected_parent,hop,path_score,path_ids,path_names,last_edge_weight,last_relation_type,last_spillover_type,last_source_section
FIRM_0097,Microsoft,FIRM_0115,OpenAI,target_entity,ai_lab,OpenAI Group,1,0.6,FIRM_0097 -> FIRM_0115,Microsoft -> OpenAI,0.6,ai_provider,operational,Item7
FIRM_0097,Microsoft,FIRM_0132,SAP,source_firm,enterprise_software,,2,0.051,FIRM_0097 -> FIRM_0115 -> FIRM_0132,Microsoft -> OpenAI -> SAP,0.1,ai_provider,governance,Item4
FIRM_0097,Microsoft,FIRM_0120,Palantir Technologies,target_entity,data_analytics,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0120,Microsoft -> OpenAI -> SAP -> Palantir Technologies,0.1,ai_provider,none,Item4
FIRM_0097,Microsoft,FIRM_0046,Databricks,target_entity,data_ai_platform,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0046,Microsoft -> OpenAI -> SAP -> Databricks,0.1,data_provider,none,Item4
FIRM_0097,Microsoft,FIRM_0155,Snowflake,source_firm,data_platform,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0155,Microsoft -> OpenAI -> SAP -> Snowflake,0.1,data_provider,none,Item4
FIRM_0097,Microsoft,FIRM_0002,Accenture,target_entity,it_consulting,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0002,Microsoft -> OpenAI -> SAP -> Accenture,0.1,software_vendor,none,Item4
FIRM_0097,Microsoft,FIRM_0031,Capgemini,target_entity,it_consulting,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0031,Microsoft -> OpenAI -> SAP -> Capgemini,0.1,software_vendor,none,Item4
FIRM_0097,Microsoft,FIRM_0001,ADP,target_entity,hr_software,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0001,Microsoft -> OpenAI -> SAP -> ADP,0.1,software_vendor,none,Item4
FIRM_0097,Microsoft,FIRM_0154,SmartRecruiters,target_entity,hr_software,,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0154,Microsoft -> OpenAI -> SAP -> SmartRecruiters,0.1,investment_target,none,Item4
FIRM_0097,Microsoft,FIRM_0137,SAP Deutschland,target_entity,enterprise_software,SAP,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0137,Microsoft -> OpenAI -> SAP -> SAP Deutschland,0.1,subsidiary,none,Item4
FIRM_0097,Microsoft,FIRM_0143,SAP Schweiz,target_entity,enterprise_software,SAP,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0143,Microsoft -> OpenAI -> SAP -> SAP Schweiz,0.1,subsidiary,none,Item4
FIRM_0097,Microsoft,FIRM_0146,SAP UK,target_entity,enterprise_software,SAP,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0146,Microsoft -> OpenAI -> SAP -> SAP UK,0.1,subsidiary,none,Item4
FIRM_0097,Microsoft,FIRM_0136,SAP Concur,target_entity,travel_expense_software,SAP,3,0.0043349999999999994,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0136,Microsoft -> OpenAI -> SAP -> SAP Concur,0.1,subsidiary,none,Item4
FIRM_0097,Microsoft,FIRM_0069,IBM,source_firm,technology_company,,3,0.015894999999999996,FIRM_0097 -> FIRM_0115 -> FIRM_0132 -> FIRM_0069,Microsoft -> OpenAI -> SAP -> IBM,0.3666666666666666,partner,operational,Item1A
FIRM_0097,Microsoft,FIRM_0003,Activision Blizzard,target_entity,gaming,Microsoft,1,0.3333333333333333,FIRM_0097 -> FIRM_0003,Microsoft -> Activision Blizzard,0.3333333333333333,subsidiary,operational,Item7
FIRM_0097,Microsoft,FIRM_0110,Nuance Communications,target_entity,ai_software,Microsoft,1,0.5333333333333333,FIRM_0097 -> FIRM_0110,Microsoft -> Nuance Communications,0.5333333333333333,subsidiary,operational,Item1
FIRM_0097,Microsoft,FIRM_0084,LinkedIn,target_entity,social_platform,Microsoft,1,0.4666666666666667,FIRM_0097 -> FIRM_0084,Microsoft -> LinkedIn,0.4666666666666667,subsidiary,operational,Item7
FIRM_0097,Microsoft,FIRM_0060,GitHub,target_entity,developer_platform,Microsoft,1,0.4,FIRM_0097 -> FIRM_0060,Microsoft -> GitHub,0.4,subsidiary,operational,Item1
FIRM_0097,Microsoft,FIRM_0048,Dell Technologies,target_entity,hardware,,1,0.1,FIRM_0097 -> FIRM_0048,Microsoft -> Dell Technologies,0.1,customer,none,Item1
FIRM_0097,Microsoft,FIRM_0163,Teradata,source_firm,data_platform,,2,0.031166666666666672,FIRM_0097 -> FIRM_0048 -> FIRM_0163,Microsoft -> Dell Technologies -> Teradata,0.3666666666666667,hardware_vendor,operational,Item1A
FIRM_0097,Microsoft,FIRM_0067,Hewlett Packard Enterprise,target_entity,enterprise_hardware,,1,0.1,FIRM_0097 -> FIRM_0067,Microsoft -> Hewlett Packard Enterprise,0.1,customer,none,Item1
FIRM_0097,Microsoft,FIRM_0083,Lenovo,target_entity,hardware,,1,0.1,FIRM_0097 -> FIRM_0083,Microsoft -> Lenovo,0.1,customer,none,Item1
FIRM_0097,Microsoft,FIRM_0069,IBM,source_firm,technology_company,,1,0.4333333333333333,FIRM_0097 -> FIRM_0069,Microsoft -> IBM,0.4333333333333333,partner,performance,Item1A
FIRM_0097,Microsoft,FIRM_0012,Amazon Web Services,target_entity,cloud_provider,Amazon,2,0.14733333333333334,FIRM_0097 -> FIRM_0069 -> FIRM_0012,Microsoft -> IBM -> Amazon Web Services,0.4,partner,operational,Item1A
FIRM_0097,Microsoft,FIRM_0132,SAP,source_firm,enterprise_software,,3,0.012523333333333334,FIRM_0097 -> FIRM_0069 -> FIRM_0012 -> FIRM_0132,Microsoft -> IBM -> Amazon Web Services -> SAP,0.1,cloud_provider,operational,Item4
FIRM_0097,Microsoft,FIRM_0163,Teradata,source_firm,data_platform,,3,0.0667911111111111,FIRM_0097 -> FIRM_0069 -> FIRM_0012 -> FIRM_0163,Microsoft -> IBM -> Amazon Web Services -> Teradata,0.5333333333333333,cloud_provider,operational,Item1A
FIRM_0097,Microsoft,FIRM_0155,Snowflake,source_firm,data_platform,,3,0.10853555555555555,FIRM_0097 -> FIRM_0069 -> FIRM_0012 -> FIRM_0155,Microsoft -> IBM -> Amazon Web Services -> Snowflake,0.8666666666666667,cloud_provider,operational,Item1A
FIRM_0097,Microsoft,FIRM_0100,MongoDB,source_firm,database_platform,,3,0.12314611111111108,FIRM_0097 -> FIRM_0069 -> FIRM_0012 -> FIRM_0100,Microsoft -> IBM -> Amazon Web Services -> MongoDB,0.9833333333333332,cloud_provider,operational,Item7
FIRM_0097,Microsoft,FIRM_0041,Couchbase,source_firm,database_platform,,3,0.07931444444444444,FIRM_0097 -> FIRM_0069 -> FIRM_0012 -> FIRM_0041,Microsoft -> IBM -> Amazon Web Services -> Couchbase,0.6333333333333333,cloud_provider,operational,Item1A
