Source 기업명,Source 모기업명,Source_산업,Target 기업명,Target_모기업,Target_산업,Year,relation_type,dependency_direction,risk_language_score,investment_mentioned,contract_scale_score,no_alternative_mentioned,spillover_type,source_section,source_raw_name,source_canonical_name,source_canonical_firm_id,source_entity_level,source_entity_type,source_parent_canonical_name,source_parent_firm_id,source_mapping_found,target_raw_name,target_canonical_name,target_canonical_firm_id,target_entity_level,target_entity_type,target_parent_canonical_name,target_parent_firm_id,target_mapping_found,source_parent_hint_raw_name,source_parent_hint_canonical_name,source_parent_hint_canonical_firm_id,source_parent_hint_entity_level,source_parent_hint_entity_type,source_parent_hint_parent_canonical_name,source_parent_hint_parent_firm_id,source_parent_hint_mapping_found,target_parent_hint_raw_name,target_parent_hint_canonical_name,target_parent_hint_canonical_firm_id,target_parent_hint_entity_level,target_parent_hint_entity_type,target_parent_hint_parent_canonical_name,target_parent_hint_parent_firm_id,target_parent_hint_mapping_found,risk_source_id,risk_source_name,risk_target_id,risk_target_name,risk_direction_rule,risk_edge_valid,is_reciprocal_expansion,risk_language_score_norm,contract_scale_score_norm,no_alternative_flag,investment_flag,edge_weight_v1
Alibaba Group,Alibaba,E-commerce / Cloud,Ant Group / Alipay,Alibaba,FinTech / Payments,2023,software_vendor,upstream,0.7,Y,0.5,Y,governance,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Ant Group / Alipay,Ant Group / Alipay,FIRM_0016,affiliate,fintech,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0016,Ant Group / Alipay,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.7,0.1666666666666666,1,1,0.5766666666666667
Alibaba Group,Alibaba,E-commerce / Cloud,Lazada,Alibaba,E-commerce,2023,subsidiary,downstream,1.0,Y,0.0,N,security,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Lazada,Lazada,FIRM_0081,subsidiary,ecommerce,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0081,Lazada,source_is_upstream_of_target,True,False,1.0,0.0,0,1,0.4
Alibaba Group,Alibaba,E-commerce / Cloud,Cainiao,Alibaba,Logistics,2023,subsidiary,downstream,0.7,Y,0.0,Y,operational,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Cainiao,Cainiao,FIRM_0029,subsidiary,logistics,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0029,Cainiao,source_is_upstream_of_target,True,False,0.7,0.0,1,1,0.51
Alibaba Group,Alibaba,E-commerce / Cloud,Sun Art,Alibaba,Retail,2023,subsidiary,downstream,0.3,Y,0.0,N,operational,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Sun Art,Sun Art Retail,FIRM_0159,subsidiary,retail,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0159,Sun Art Retail,source_is_upstream_of_target,True,False,0.3,0.0,0,1,0.19
Alibaba Group,Alibaba,E-commerce / Cloud,STO Express,STO Express,Logistics,2023,investment_target,upstream,0.0,Y,1.0,N,none,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,STO Express,STO Express,FIRM_0148,parent,logistics,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,STO Express,STO Express,FIRM_0148,parent,logistics,,,True,FIRM_0148,STO Express,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.0,0.3333333333333333,0,1,0.2333333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,YTO Express,YTO Express,Logistics,2023,investment_target,upstream,0.0,Y,1.0,N,none,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,YTO Express,YTO Express,FIRM_0175,parent,logistics,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,YTO Express,YTO Express,FIRM_0175,parent,logistics,,,True,FIRM_0175,YTO Express,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.0,0.3333333333333333,0,1,0.2333333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Bilibili,Bilibili,Video Streaming / Media,2023,investment_target,upstream,0.0,Y,1.0,N,none,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Bilibili,Bilibili,FIRM_0026,parent,media_platform,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Bilibili,Bilibili,FIRM_0026,parent,media_platform,,,True,FIRM_0026,Bilibili,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.0,0.3333333333333333,0,1,0.2333333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,China Broadcasting Network,China Broadcasting Network,Telecom / Media,2023,investment_target,upstream,0.0,Y,1.0,N,none,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,China Broadcasting Network,China Broadcasting Network,FIRM_0033,company,telecommunications,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,China Broadcasting Network,China Broadcasting Network,FIRM_0033,company,telecommunications,,,True,FIRM_0033,China Broadcasting Network,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.0,0.3333333333333333,0,1,0.2333333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Trendyol,Alibaba,E-commerce,2023,subsidiary,downstream,0.3,Y,0.0,N,performance,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Trendyol,Trendyol,FIRM_0166,subsidiary,ecommerce,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0166,Trendyol,source_is_upstream_of_target,True,False,0.3,0.0,0,1,0.19
Alibaba Group,Alibaba,E-commerce / Cloud,Daraz,Alibaba,E-commerce,2023,subsidiary,downstream,0.3,Y,0.0,N,operational,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Daraz,Daraz,FIRM_0044,subsidiary,ecommerce,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0044,Daraz,source_is_upstream_of_target,True,False,0.3,0.0,0,1,0.19
